nombreVacante,area,nivelPuesto
Asesor financiero,Finanzas y Contabilidad,Técnico especializado
ASESOR COMERCIAL CAMBACEO,Comercialización,Operativo
Gerente de capacitación y desarrollo,Recursos humanos,Mandos medios
Guardia de seguridad,Operativo,Operativo
Rebajador de casco y contrafuerte,Producción,Operativo
Auditor nocturno,Operativo,Operativo
Setter CNC,Producción,Técnico
Asistente de reclutamiento,Recursos humanos,Técnico especializado
Atención a clientes de panadería,Operativo,Operativo
Mecánico Diésel de Maquinaria Pesada,Mantenimiento industrial,Técnico especializado
Hostess,Operativo,Operativo
Montacarguista,Logística,Operativo
Auxiliar contable,Administración,Mandos medios
Ayudante electromecánico de mantenimiento,Producción,Técnico especializado
Ayudante de limpieza,Operativo,Operativo
Agente de ventas,Comercialización,Mandos medios
Mensajero,Operativo,Operativo
Supervisor de producción ,Producción,Mandos medios
"Analista de Rastreo de Unidades, Analista de Cámaras Seguridad",Logística,Técnico especializado
OFICIAL EN PREVENCION PENITENCIARIA ,Operativo,Operativo
Inspector de calidad,Producción,Operativo
Chofer vendedor,Operativo,Operativo
Auditor interno,Finanzas y Contabilidad,Mandos medios
Surtidor,Producción,Operativo
Asesor telefónico de ventas,Operativo,Operativo
Chef de Partie,Producción,Mandos medios
Técnico de mantenimiento industrial,Mantenimiento industrial,Técnico especializado
Técnico de producción automotriz,Producción,Técnico
Lider de Produccion,Producción,Técnico
Recepcionista,Administración,Mandos medios
Jefe de crédito y cobranzas,Administración,Mandos medios
Ejecutivo de ventas,Operativo,Operativo
Practicante de Lean Manufacturing,Producción,Practicante
Herrero,Producción,Técnico
auxiliar de limpieza,Operativo,Operativo
PLANEADOR DE PRODUCCIÓN,Producción,Mandos medios
Auditor de Cajas de Cobro,Finanzas y Contabilidad,Mandos medios
Estibador,Logística,Operativo
Asesor telefónico,Asuntos jurídicos,Operativo
Auxiliar de almacén,Logística,Operativo
Técnico en refrigeración y aires acondicionados,Operativo,Técnico especializado
PERSONAL DE LIMPIEZA ,Producción,Operativo
Auxiliar de farmacia,Operativo,Operativo
Agente de ventas mostrador,Comercialización,Operativo
Practicante de recursos humanos,Recursos humanos,Operativo
Ayudante general,Operativo,Operativo
Auxiliar de recibo y bodega,Operativo,Operativo
Ingeniero civil ,Operativo,Mandos medios
Inteligencia de la información IT,Producción,Técnico
Operador de montacargas,Logística,Operativo
Coordinador administrativo de recursos humanos,Recursos humanos,Mandos medios
Operador de Producción,Producción,Operativo
Recepcionista ,Operativo,Operativo
SOLDADOR ,Mantenimiento industrial,Técnico 
Agente de ventas,Administración,Mandos medios
Ayudante de mantenimiento preventivo y correctivo,Mantenimiento industrial,Operativo
Traductor,Administración,Mandos medios
Asistente,Asuntos jurídicos,Operativo
Auxiliar de mantenimiento,Mantenimiento industrial,Técnico
Pespuntador de muestras,Operativo,Operativo
Almacenista/Surtidor,Producción,Operativo
Operador de producción de industria metálica,Operativo,Operativo
Suplente de reparto,Operativo,Técnico
Analista de calidad de productos alimenticios,Calidad,Técnico especializado
cajero departamental ,Operativo,Operativo
Adornadora,Operativo,Operativo
Electromecánico,Mantenimiento industrial,Técnico especializado
Ayudante general,Producción,Operativo
